Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,edu.stanford.nlp.coref.hybrid,C:\User\divya\Projects\CoreNLP\itest\src\edu\stanford\nlp\coref\hybrid\ChineseCorefBenchmarkSlowITest.java,3,51,Access to field `LOG_PROP` on foreign value `HybridCorefProperties` (degree 1),Design,LawOfDemeter
1,edu.stanford.nlp.dcoref,C:\User\divya\Projects\CoreNLP\itest\src\edu\stanford\nlp\dcoref\DcorefBenchmarkSlowITest.java,3,52,Access to field `LOG_PROP` on foreign value `Constants` (degree 1),Design,LawOfDemeter
2,edu.stanford.nlp.dcoref,C:\User\divya\Projects\CoreNLP\itest\src\edu\stanford\nlp\dcoref\DcorefBenchmarkSlowITest.java,3,53,Access to field `CONLL_OUTPUT_PROP` on foreign value `Constants` (degree 1),Design,LawOfDemeter
1,edu.stanford.nlp.dcoref,C:\User\divya\Projects\CoreNLP\itest\src\edu\stanford\nlp\dcoref\DcorefExactOutputITest.java,3,125,Access to field `sentNum` on foreign value `mention` (degree 1),Design,LawOfDemeter
2,edu.stanford.nlp.dcoref,C:\User\divya\Projects\CoreNLP\itest\src\edu\stanford\nlp\dcoref\DcorefExactOutputITest.java,3,125,Access to field `mentionSpan` on foreign value `mention` (degree 1),Design,LawOfDemeter
3,edu.stanford.nlp.dcoref,C:\User\divya\Projects\CoreNLP\itest\src\edu\stanford\nlp\dcoref\DcorefExactOutputITest.java,3,135,Access to field `sentNum` on foreign value `mention` (degree 1),Design,LawOfDemeter
4,edu.stanford.nlp.dcoref,C:\User\divya\Projects\CoreNLP\itest\src\edu\stanford\nlp\dcoref\DcorefExactOutputITest.java,3,135,Access to field `mentionSpan` on foreign value `mention` (degree 1),Design,LawOfDemeter
1,edu.stanford.nlp.ie,C:\User\divya\Projects\CoreNLP\itest\src\edu\stanford\nlp\ie\NERBenchmarkSlowITest.java,3,46,"Possible God Class (WMC=48, ATFD=12, TCC=5.455%)",Design,GodClass
2,edu.stanford.nlp.ie,C:\User\divya\Projects\CoreNLP\itest\src\edu\stanford\nlp\ie\NERBenchmarkSlowITest.java,3,251,Access to field `entitySubclassification` on foreign value `flags` (degree 1),Design,LawOfDemeter
3,edu.stanford.nlp.ie,C:\User\divya\Projects\CoreNLP\itest\src\edu\stanford\nlp\ie\NERBenchmarkSlowITest.java,3,329,Avoid unused local variables such as 'wordsSeen'.,Best Practices,UnusedLocalVariable
